,Start_node,End_node,Road_Type,Region,Distance
443,992171,991059,MAJOR ROUTE,TM,39.999416386305796
444,992172,992173,MAJOR ROUTE,TM,814.2239971799385
445,992173,992174,MAJOR ROUTE,TM,19.999921224442517
446,992174,991060,MAJOR ROUTE,TM,19.999406016229596
447,992175,992176,MAJOR ROUTE,TM,1131.3153618632398
448,992176,992177,MAJOR ROUTE,TM,19.99989327833079
449,992177,991061,MAJOR ROUTE,TM,19.999935431111645
450,992178,992179,MAJOR ROUTE,TM,817.4499648157228
451,992179,992180,MAJOR ROUTE,TM,19.999376881969052
452,992180,991062,MAJOR ROUTE,TM,19.999911273384615
453,992181,992182,MAJOR ROUTE,TM,803.7789112273919
454,992182,992183,MAJOR ROUTE,TM,19.999963490160685
455,992183,991063,MAJOR ROUTE,TM,19.99981231243403
456,992184,992185,MAJOR ROUTE,TM,1068.9335605746382
457,992185,992186,MAJOR ROUTE,TM,19.999401986476553
458,992186,991064,MAJOR ROUTE,TM,19.99891206064446
459,992187,992188,MAJOR ROUTE,TM,1190.803627836732
460,992188,992189,MAJOR ROUTE,TM,19.999885222147537
461,992189,991065,MAJOR ROUTE,TM,19.999854787025118
462,992190,992191,MAJOR ROUTE,TM,752.5223539790189
463,992191,992192,MAJOR ROUTE,TM,19.999865974120834
464,992192,991066,MAJOR ROUTE,TM,19.99971513066862
465,992193,992194,MAJOR ROUTE,TM,1211.9660346786031
466,992194,992195,MAJOR ROUTE,TM,19.99785733866051
467,992195,991067,MAJOR ROUTE,TM,19.997383101490072
468,992196,993025,MAJOR ROUTE,TM,451.75321642321063
469,992197,992198,MAJOR ROUTE,TM,19.999927083110684
470,992198,991068,MAJOR ROUTE,TM,39.99565855048268
471,992199,992200,MAJOR ROUTE,TM,458.96028106491076
472,992200,992201,MAJOR ROUTE,TM,0.0
473,992201,991069,MAJOR ROUTE,TM,39.999839914433764
474,992202,992203,MAJOR ROUTE,TM,906.4362535929918
475,992203,992204,MAJOR ROUTE,TM,0.0
476,992204,991070,MAJOR ROUTE,TM,39.99864116608015
477,992205,992206,MAJOR ROUTE,TM,1213.3756268635614
478,992206,992207,MAJOR ROUTE,TM,0.0
479,992207,991071,MAJOR ROUTE,TM,39.985062692604984
480,992208,992209,MAJOR ROUTE,TM,741.0035886438313
481,992209,992210,MAJOR ROUTE,TM,0.0
482,992210,991072,MAJOR ROUTE,TM,39.543946271686984
483,992211,992212,MAJOR ROUTE,TM,1012.9039148467125
484,992212,992213,MAJOR ROUTE,TM,0.0
485,992213,991073,MAJOR ROUTE,TM,39.96286621441876
486,992214,992215,MAJOR ROUTE,TM,792.6412763455
487,992215,992216,MAJOR ROUTE,TM,19.99960626433311
488,992216,991074,MAJOR ROUTE,TM,19.99974695758415
489,992217,992218,MAJOR ROUTE,TM,758.3318198012813
490,992218,992219,MAJOR ROUTE,TM,19.99993634675848
491,992219,991075,MAJOR ROUTE,TM,19.999968088448757
492,992220,992221,MAJOR ROUTE,TM,822.7153320318131
493,992221,992222,MAJOR ROUTE,TM,19.99990438511201
494,992222,991076,MAJOR ROUTE,TM,19.99997750148943
495,992223,992224,MAJOR ROUTE,TM,1308.7843612447093
496,992224,992225,MAJOR ROUTE,TM,0.0
497,992225,991077,MAJOR ROUTE,TM,39.99989673013684
498,992226,992227,MAJOR ROUTE,TM,1585.2720917572638
499,992227,992228,MAJOR ROUTE,TM,19.999794453315406
500,992228,991078,MAJOR ROUTE,TM,19.99700096948358
501,992229,992230,MAJOR ROUTE,TM,1184.2673600977107
502,992230,992231,MAJOR ROUTE,TM,19.999942213785058
503,992231,991079,MAJOR ROUTE,TM,19.975837376521646
504,992232,992233,MAJOR ROUTE,TM,1075.997506577688
505,992233,992234,MAJOR ROUTE,TM,0.0
506,992234,991080,MAJOR ROUTE,TM,39.92253183280869
507,992235,992236,MAJOR ROUTE,TM,969.6591591026909
508,992236,992237,MAJOR ROUTE,TM,19.999870922157562
509,992237,991081,MAJOR ROUTE,TM,19.999944615123614
510,992238,992239,MAJOR ROUTE,TM,864.3659657055789
511,992239,992240,MAJOR ROUTE,TM,0.0
512,992240,991082,MAJOR ROUTE,TM,39.99682794932602
513,992241,993026,MAJOR ROUTE,TM,576.0660818894703
514,992242,992243,MAJOR ROUTE,TM,19.99999959918846
515,992243,991083,MAJOR ROUTE,TM,19.99993614424698
516,992244,992245,URBAN ROAD,TM,19.995981903152973
517,992245,991084,URBAN ROAD,TM,19.998150694636337
518,992246,992247,URBAN ROAD,TM,915.1364621375544
519,992247,991085,URBAN ROAD,TM,19.993473335039667
520,992248,992249,URBAN ROAD,TM,19.99077112265277
521,992249,992250,URBAN ROAD,TM,786.6977679879254
522,992250,992251,URBAN ROAD,TM,0.0
523,992251,991086,URBAN ROAD,TM,39.98440759756961
524,992252,992253,URBAN ROAD,TM,1154.0499592115139
525,992253,991087,URBAN ROAD,TM,19.980607630483444
526,992254,992255,URBAN ROAD,TM,19.9998291833489
527,992255,992256,URBAN ROAD,TM,908.5878833663602
528,992256,992257,URBAN ROAD,TM,19.99987218966735
529,992257,991088,URBAN ROAD,TM,19.992103108983425
530,992258,992259,URBAN ROAD,TM,937.1527050670447
531,992259,992260,URBAN ROAD,TM,19.999879258166988
532,992260,991089,URBAN ROAD,TM,19.999533649605695
533,992261,992262,URBAN ROAD,TM,1429.8290566015226
534,992262,992263,URBAN ROAD,TM,0.0
535,992263,991090,URBAN ROAD,TM,39.98279127200511
536,992264,992265,URBAN ROAD,TM,1205.3641317886068
537,992265,992266,URBAN ROAD,TM,19.99856853885625
538,992266,991091,URBAN ROAD,TM,19.998128011925612
