,Node ID,Eastings,Northings,wgsLong,wgsLat
328,991077,822037.0876895245,824797.7236119956,114.038707444,22.362270013
329,992226,822053.6834004661,824808.8852596469,114.03886847,22.362370946
330,991078,823601.4919970641,825304.6310607642,114.053892088,22.366859898
331,992229,823620.6966676945,825310.1978731211,114.054078507,22.366910311
332,991079,824838.8394986987,825275.2168611456,114.065905996,22.366602951
333,992232,824856.6811908865,825266.179493174,114.066079289,22.366521457
334,991080,825808.2281195931,825842.511629153,114.075314289,22.371732096
335,992235,825828.203853068,825841.9637832474,114.075508248,22.37172727
336,991081,826812.6183675006,825618.2370928861,114.085067823,22.369712603
337,992238,826831.69983635,825612.2456367686,114.085253129,22.369658602
338,991082,827721.6418197928,825681.8455577642,114.093893592,22.370291784
339,992241,827736.9573580725,825668.9848148152,114.094042367,22.370175721
340,991084,815811.207070332,828287.6577323321,113.978216323,22.393722918
341,992246,815819.7468502177,828269.5725959055,113.978299485,22.393559703
342,991085,816102.5847199,827379.6707733795,113.981057386,22.385526826
343,992248,816099.925386697,827359.8491908722,113.981031813,22.385347797
344,991086,816250.8576172134,826554.3790684249,113.982507539,22.378075788
345,992252,816270.7123675207,826551.9730639327,113.982700359,22.378054292
346,991087,817307.7258318383,826004.505734127,113.992776238,22.373122165
347,992254,817318.9023073036,825987.9258990306,113.992884954,22.372972564
348,991088,818090.526197656,825405.4161371496,114.000383766,22.367720556
349,992258,818107.4607362263,825394.7857988942,114.000548309,22.367624738
350,991089,819074.9106384348,825257.5772890542,114.009943012,22.366395633
351,992261,819094.79388892,825255.4225855712,114.010136085,22.366376374
352,991090,820117.5494789463,824203.7475048918,114.020076835,22.35688913
353,992264,820136.1078781709,824196.2919854075,114.020257085,22.356821977
354,991091,821377.4565457804,824145.0368800107,114.032309227,22.356370321
355,992267,821396.131573745,824152.195303807,114.032490467,22.356435127
356,991092,822389.6200002432,824619.8427256383,114.042131692,22.360666539
357,992270,822407.8636239404,824628.0354536958,114.042308745,22.360740671
358,991093,823970.7806840809,825184.2859024052,114.057478524,22.365775802
359,992273,823988.13255955,825194.2307084445,114.05764692,22.365865733
360,991094,824263.7920844387,825402.5437544324,114.060321779,22.367748857
361,992276,824283.6023659743,825405.291980315,114.060514102,22.367773813
362,991095,825218.0823396435,825053.8183294013,114.069589679,22.364606087
363,992279,825233.3742514355,825066.7019010112,114.06973806,22.36472253
364,991096,826300.3737228159,825714.7568754349,114.080093612,22.370581331
365,992282,826320.3300604355,825715.3752295617,114.080287374,22.37058703
366,991097,827332.0743739344,825377.9028993119,114.090112794,22.367545039
367,992285,827352.0558753982,825377.0428997353,114.090306805,22.367537376
368,992002,839747.8293919144,831690.1189318411,114.210674887,22.42456725
369,992003,839764.080481072,831678.4640728179,114.210832713,22.424461968
370,992005,840053.0247739209,830895.8993006721,114.21363744,22.417394418
371,992006,840053.0247739209,830895.8993006721,114.21363744,22.417394418
372,993001,839961.5616533142,830412.7726628166,114.212747959,22.413031749
373,992008,839660.6230978156,829661.7624482717,114.209823504,22.40625038
374,992009,839643.6912997309,829651.1238297559,114.20965904,22.406154341
375,992011,839438.1469529113,829524.2363121212,114.207662545,22.405008877
376,992012,839421.9520012382,829512.5007448029,114.207505238,22.404902929
377,992040,839136.0719779124,829240.4802249093,114.204728311,22.402446951
378,992014,840041.7892912226,830047.5475192331,114.2135263,22.409733412
379,992015,840056.0117785092,830033.4970356654,114.213664399,22.409606498
380,992017,840461.9500638265,829673.0274413843,114.217606011,22.406350333
381,992018,840476.4707837244,829659.283245109,114.217747,22.40622618
382,992020,839979.0730359806,828963.500627745,114.212914659,22.399944066
383,992021,839965.8627536725,828948.4843551908,114.212786331,22.39980849
384,992023,839635.9057782674,828178.9927259032,114.209580314,22.392860271
385,992024,839636.6870755237,828159.0091146287,114.209587859,22.392679807
386,992026,839723.5084278136,827871.7399144676,114.210430362,22.390085446
387,992027,839731.8411540091,827853.558449341,114.21051124,22.389921241
388,992029,839798.2316967146,827684.3823770806,114.211155574,22.388393358
389,992030,839801.937915083,827664.7403695788,114.211191521,22.388215973
390,993002,839798.8439310547,827487.5594932456,114.211161083,22.386615945
391,992032,839708.1147770612,826786.7177544646,114.210278534,22.380287162
392,992033,839709.4993784102,826766.7683571707,114.210291935,22.380107006
393,992035,839779.4592542052,826572.6208642665,114.21097083,22.37835361
394,992036,839779.4592542052,826572.6208642665,114.21097083,22.37835361
395,993003,840012.126778543,826325.7996898759,114.213229464,22.376124192
396,992038,839057.3380212775,822390.380273506,114.203951684,22.340587009
397,992039,839047.9111039061,822372.7430861052,114.203860142,22.34042775
398,991014,839039.1333629191,822354.7850633468,114.203774901,22.340265593
399,992041,839123.5444987481,829224.890266234,114.20460662,22.402306186
400,992043,838816.9718641331,828731.3422166221,114.201628483,22.397849683
401,992044,838806.7972778901,828714.1236860566,114.201529646,22.397694206
402,992046,838631.6615898097,828421.4301446266,114.1998284,22.395051285
